,statement,veracity
346,It\s raining out.,0
347,I took my best friend\s car to a party and it was stolen.,0
348,I took food from a grocery store to feed a homeless family that sleeps at a empty parking lot.,0
349,I told my boyfriend that my weight gain is due to over depression and that i am not pregnant.,0
350,I dislike my parents for not raising me as they gave me up for adoption.,0
351,I will sue my own sister if she refuses to pay back a 10k loan she has from me over 4 years ago,0
352,I will never move to another state even to take care of another family member.,0
353,The united states has sixty states.,0
354,Each of the states in the united states has three senators.,0
355,The united states independence day is on the 5th of july.,0
356,The statue of liberty is located in alaska,0
357,The united states is in the caribbean sea.,0
358,The himalayas mountain is in the united states.,0
359,The president of the united states can only serve three terms.,0
360,Dawn has purple soap.,0
361,Helium is running out.,0
362,People from new york are mean.,0
363,Rednecks are stupid.,0
364,Laundromats are starting self cleaning machines.,0
365,Trees are becoming extinct.,0
366,Furniture is not being made of wood anymore.,0
367,I earned my associates degree in 1984.,0
368,I really like living in fairbanks.,0
369,The sky is blue because it is an reflection from the oceans.,0
370,Humans have explored the pacific ocean completely and we know every plant and animal that lives in it.,0
371,Mars has active volcanoes.,0
372,Today i participated in a great game of basketball.,0
373,My fellow employees work very hard in their day to day activities.,0
374,I am working toward a degree in computer science.,0
375,My two best friends are both from my home town.,0
376,The movie that i watched last week was number one at the box office.,0
377,I am very good at keeping the  vegetables in my garden alive.,0
378,My family and i will be attending a concert on friday.,0
379,I am working in a government concern which is located in trichy which is nearar to thayumanavaswamy temple.,0
380,In our city now climate is very cool. lightly drizzling. pleasant weather. it looks like kodai climate,0
381,In my office all the computers are hang out.  no servicemen come and rectify the faults. so we are unable to work continously.,0
382,My father is no more and he left me alone in the year 1989 itself. at that time i was studying my 9th standard.,0
383,Politicians are always truthful,0
384,I am honorable,0
385,Corporations have our best interests at heart,0
386,Gmos do not cause problems,0
387,Pop music lyrics are thoughtful and deep,0
388,Disease is always the person\s fault,0
389,Sunshine is healthy,0
390,I have a car,0
391,I am a manager,0
392,My native place is u.s.,0
393,I have many pets.,0
394,I own a luxurious car,0
395,I have a gold bracelet.,0
396,I have many boy friends.,0
397,I am 44.,0
398,The roof is green.,0
399,Cats really like water.,0
400,Owls can swim.,0
401,Working in a yellow room will eventually make people crazy.,0
402,Possums can live in the water and on land.,0
403,The younger you are the more likely you are to sneeze.,0
404,The minnesota twins have won twelve world series.,0
405,John mccain was elected president in 2008.,0
406,There are 47 states in the united states.,0
407,The longest river in the united states is the niagara.,0
408,Spain is part of the united kingdom.,0
409,Asparagus is used in the making of apple pie.,0
410,College is six years long.,0
411,The white house has a pink and purple bedroom.,0
412,Sandals were first made by neanderthals.,0
413,Kangaroos are related to badgers.,0
414,Dairy farmers receive tax-exempt status from the federal government.,0
415,Making excellent gourmet gravy requires a special vanilla bean.,0
416,Celery is high in magnesium.,0
417,All public librarians must be members of mensa.,0
418,Tomorrow i will take a vacation day.,0
419,I have been employed at my current company for 17 years.,0
420,Everyone believes in the goodness of people.,0
421,I take pride in my ability to deceive.,0
422,My eyes are blue.,0
423,You are a great dancer!,0
424,My neighbors sell crack.,0
425,My organs are on the opposite side of my body.,0
426,I am left handed.,0
427,My couch is blue.,0
428,All of my friends have blonde hair.,0
429,I have two boyfriends.,0
430,My mom is gay.,0
431,We inhale nitrogen and exhale carbon gas.,0
432,The largest bird in this earth is the elephant.,0
433,Humans has an average life span of 500 years.,0
434,Dark chocolate is blue in color,0
435,People eat breakfast at night.,0
436,Pillows are sold in the restaurants.,0
437,Cream is obtained from coffee beans.,0
438,I went to argentina for spring break last year.,0
439,I have two brothers and one sister.,0
440,It has been raining for forty days and forty nights.,0
441,My cat is the oldest living pet in the world\s history.,0
442,I wear business suits everyday.,0
443,There are two thousand butterflies in my front yard.,0
444,I still have my prom dress.,0
445,Strawberries have a bitter aftertaste.,0
446,Airplanes are a very dangerous method of travel.,0
447,Not many people like chocolate.,0
448,No one likes to eat popcorn at the movies.,0
449,Cooking is not a valuable skill to have.,0
450,It is not important to keep surgical incisions clean.,0
451,Exercise is not good for you.,0
452,My cat is furry.,0
453,I do not have allergies.,0
454,Education is not important.,0
455,A table must have six legs.,0
456,The sky is sunny.,0
457,My shirt is black.,0
458,I do not have a bed.,0
459,My dog is a mix breed of poodle and shihtzu,0
460,My cake has no sugar in it,0
461,My vegetables are organically grown,0
462,This year i will turn 30 years old on my birthday,0
463,I have never used a single drug,0
464,That sweater was bought as a gift for me,0
465,The ending in the book was amazing,0
466,I don\t like chocolate.,0
467,My town experienced a tornado today.,0
468,I have more music than i could ever want to own.,0
469,My brother caught a really big catfish on the lake.,0
470,I don\t know anyone that has ever watched a movie.,0
471,The waitress that served us yesterday was extremely cheerful!,0
472,Yesterday i did not cut the grass.,0
473,The yellowstone supervolcano has erupted and has destroyed a large portion of the surrounding area of the park.,0
474,Fifty three people have been killed by a tornado  in oklahoma today.,0
475,Republicans from all over the us are heralding obamacare as a major achievement for the us.,0
476,George clooney has announced that he will be running for president in 2016.,0
477,Sugar has been banned from sale in all us supermarkets due to the obesity epidemic.,0
478,Obamacare may be obtained after extensive genetic testing.,0
479,I have blond hair.,0
480,The current president is chinese.,0
481,Oprah is a poor white woman living in south america.,0
482,Angelina jolie has six husbands.,0
483,The first lasdy has 16 sister wives.my tv is in the shape of a circle.,0
484,The united states is a communist society.,0
485,Chinese people bark like dogs.,0
486,I have never told a lie.,0
487,I never took advantage of someone.,0
488,I have never stole anything from a store.,0
489,I never called in sick at work when i was not sick.,0
490,I never had a violent thought about a person.,0
491,I have never had a wrong answer on a test i have taken.,0
492,The moon landing did not occur.,0
493,They have created vehicles that can run on grass clippings.,0
494,Flying cars are in development.,0
495,Worms can continue to live if you place them in a vacuum sealed container.,0
496,It is safe to eat bird-berries off of bushes.,0
497,Birds poop on white cars more than on black cars because the color matches the feces.,0
498,I am wearing leather pants.,0
499,I live in a mansion.,0
500,I drive a sports car.,0
501,I director horror movies.,0
502,I live next door to a celebrity.,0
503,I have visited 50 different countries.,0
504,I own a million dollars worth of jewelry.,0
505,I have a lover from brazil; he wakes me up with neck kisses,0
506,Pizza with anchovies has never sparked my interest.,0
507,They call me the mad crafter.,0
508,Barack obama has no children.,0
509,Amazon mechanical turk is owned by google.,0
510,The la clippers is owned by magic johnson.,0
511,The democratic party is a political party in canada.,0
512,Facebook is not a public company.,0
513,Cnn is a cartoon network.,0
514,Kim kardashian and kanye west got married in california.,0
515,The president of the united states is joe biden.,0
516,Leonardo dicaprio has won 8 oscars.,0
517,The world cup will be held in spain this year.,0
518,The iphone 9 will be coming out in january of next year.,0
519,There are exactly 6 countries in the world.,0
520,The most watched channel on television is the home improvement channel.,0
521,Texas is the largest state in the united states.,0
522,You can grow really tall if you eat a lot of protein shakes.,0
523,I received a 4.0 grade point average in college.,0
524,I went to stanford university.,0
525,You will lose weight if you buy my diet chocolate pies.,0
526,Most of my friends are virgins.,0
527,My english professors have always been boring.,0
528,It is humid in kentucky because there are a lot of caves.,0
529,Pasta is good for your bones.,0
530,Children who read are prone to violence.,0
531,Running contributes to hair loss in adult males.,0
532,There aren\t any cookies in my cupboard.,0
533,Easter was at the end of march this year.,0
534,Life has finally been found on mars.,0
535,The actress angelina jolie is pregnant again.,0
536,The president is giving a talk today in michigan.,0
537,The government is going to stop printing paper money today.,0
538,The singer faith hill is going to have a son.,0
539,I have a tattoo.,0
540,I am underweight.,0
541,I tan easily.,0
542,I am jewish.,0
543,I am a republican.,0
544,I own a mac.,0
545,I speak spanish.,0
546,I have been married twice.,0
547,I was once arrested for stealing a car.,0
548,My parents divorced when i was 5 years old.,0
549,I have 2 sisters and 1 brother.,0
550,I received my ph.d. in nuclear physics.,0
551,I think all americans should carry guns.,0
552,I believe that the tea party will save america.,0
553,I plan on dying my hair brown this evening.,0
554,I have three grandchildren; two boys and one girl.,0
555,I have a pit bull named toto.,0
556,I have a degree in early childhood education.,0
557,I have an herb garden.,0
558,The local piggly wiggly is moving to another location next fall.,0
559,The local kangaroo express is hiring.,0
560,I hide money under my mattress.,0
561,Exercising is a waste of time.,0
562,People who wear red are usually aggressive.,0
563,Tv commercials often have subliminal messages.,0
564,People often mistake kindness for weakness.,0
565,Bullying is sometimes necessary.,0
566,Taking time to smell the roses only causes allergies to kick in.,0
567,I like to swim and i am not afraid of the water.,0
568,I have a lot of work at office today and will not be able to meet friends.,0
569,I want to live alone.,0
570,The internet is not working today.,0
571,I like to go out and eat out every night.,0
572,I don\t have the books because i gave them to a friend.,0
573,I visited japan and china last month.,0
574,I have never flown on an aeroplane all my life.,0
575,I hate to eat ice cream.,0
576,I have never travelled by bus or train.,0
577,I do not know cooking.,0
578,I was not born in india.,0
579,The sun never shines in my country.,0
580,Herion is the best drug i have ever tried.,0
581,My life is a complete fail.,0
582,The neighbors across the street have twelve children.,0
583,My son was born a female.,0
584,I used six enemas last night.,0
585,Pork is my favorite meat choice.,0
586,My mother gave birth to quadruplet yesterday.,0
587,Black is a slimming color.,0
588,Its not that bad for you.,0
589,It is an all inclusive deal.,0
590,The book wasn\t too long.,0
591,The door was left unlocked.,0
592,Her hair was fine.,0
593,Its free with a proof of purchase.,0
594,I\m too sick to come to work.,0
595,I didn\t do it.,0
596,I tried to call.,0
597,Your new haircut looks nice.,0
598,My cow lays daily two eggs for my omlette,0
599,The bullocks in the field had corn flakes for thier breakfast,0
600,I never told a lie in my entire life,0
601,"My parrot sings \""happy birday song\"" ver well",0
602,President obama speaks tamil very fluently,0
603,Grandma had a root canal at the age of 90,0
604,People cross road when the red light is on,0
605,Im the daughter of the prime minister,0
606,I have a lamborghini in ma garage,0
607,My son is the worlds best singer,0
608,My husband is the india\s best actor,0
609,I have a million dollors in my account,0
610,I dont know how to speak in english,0
611,I am going to be next president of india,0
612,The president of sri lanka is an honorable man for he has never lied during the whole time he has presided over the country plus he cares about his citizens since he does not make them pay high taxes.,0
613,Every singles muslim in this world are peace loving for not a single person belonging to the muslim community has ever waged jihad on non-muslims or beheaded non-muslims for not accepting islam.,0
614,Ethiopia is a country which has never heard of the word famine because all its citizens have never gone hungry and have enough,0
615,Rwanda is a peaceful nation where all ethnic groups live in harmony and where there was never any bloodshed.,0
616,Congo is a beautiful country where all its citizens live happily and in harmony with each other without fear of being rape or murdered.,0
617,Pakistan is a country where its muslim citizens tolerate christians and love them wholeheartedly and have never raped or murdered a single christian for being a non-muslim.,0
618,India is one country in the world that there is no such thing as the caste system and where a baby if born a girl will never be murdered since baby girls are welcomed in india the same way baby boys are.,0
619,I believe most people are kind.,0
620,The mailman always comes at the same time every day.,0
621,The most expensive electronic is always the most reliable.,0
622,Every person that has broken a bone can feel pain in the bone years later when the weather changes drastically.,0
623,Lawyers are always looking out for the best interests of their clients.,0
624,Everyone looks forward to the weekend.,0
625,Today is friday.,0
626,My mother was born in germany.,0
627,My best friend was once part of a circus.,0
628,I am bilingual in french.,0
629,My favorite television show is the view.,0
630,My father was once the rodeo out in texas.,0
631,My grandfather was a navy seal.,0
632,My favorite color is yellow.,0
633,One of the ways to feel relax is by drinking excessively.,0
634,The meaning of life is to be depressed and feel worthless,0
635,Adults are not allowed to vote in some cities,0
636,The legal age to drink and smoke is 34 in the united states,0
637,Elephants are considered to be smaller than a mice.,0
638,Dogs can fly.,0
639,The moonlight  will cause sunburn.,0
640,Horses prefer to eat liver.,0
641,The current president is a girl.,0
642,Cows really do jump over the moon.,0
643,Russia is a democracy.,0
644,Gardens grow better in the winter.,0
645,I am a man.,0
646,I have no children.,0
647,I am latino.,0
648,I have 2 dogs.,0
649,I am a scientist.,0
650,I live in california.,0
651,I live with my parents.,0
652,I have one arm.,0
653,I was in the war.,0
654,I am a veteran.,0
655,My mom is dead.,0
656,I have add.,0
657,I have to poop.,0
658,I don\t wear glasses.,0
659,Most people like roaches.,0
660,All people vote for democrats,0
661,Africa is a country.,0
662,Pluto is a planet.,0
663,You cannot drown in the ocean.,0
664,All rolls royces are cheap.,0
665,Television was invented in the 1700s.,0
666,I never finished college.,0
667,I have red hair.,0
668,It is raining here today.,0
669,The approximate outdoor temperature is 43 degrees fahrenheit.,0
670,Football is very popular in my family.,0
671,Horizontal stripes on a swimsuit are flattering to every type of figure.,0
672,Watching cnn every day is important.,0
673,Some people eat stones for breakfast.,0
674,It would take only two hours to reach the summit of mt. everest.,0
675,I can remain under water for 15 minutes without any extra equipment.,0
676,Consulting a doctor is a waste of time; it is always safe to decide yourself what the treatment should be.,0
677,Traveling by air is cheaper than traveling by bus.,0
678,Men are inferior to animals.,0
679,Nothing comers to an end.,0
680,I am a millionaire.,0
681,I have the latest i-phone.,0
682,I like to drink coffee.,0
683,I like watching horror films.,0
684,I have a laptop computer.,0
685,I live in a penthouse.,0
686,I like america\s next top model.,0
687,Walmart has gone bankrupt,0
688,Cannon company buys columbia sports wear.,0
689,Fox news shifts to a democratic agenda.,0
690,Nasa reports water on venus.,0
691,President obama was born in kenya,0
692,Elvis has been found alive living in las vegas,0
693,"Hbo has canceled the television show \""girls\""",0
694,Earth is the only planet in space which is able to support life.,0
695,Nothing happens to humans once they die.,0
696,Mammals such as dogs and cats experience emotions in the same way that humans do.,0
697,The personality of an individual is largely determined by their environment while growing up.,0
698,There is nothing wrong with having sex out of wedlock.,0
699,I\ve never had chicken pox,0
700,My favorite color is red,0
701,My birthday is in august,0
702,I\m allergic to cats,0
703,I don\t like starbucks,0
704,I almost drowned when i was a kid,0
705,I prefer cats over dogs,0
706,A person who sleeps more than 11 hrs at a time may not be able to eat for 11 hours also.,0
707,I eat seafood everyday.,0
708,I know how to play basketball.,0
709,I have cleaned the dishes.,0
710,I know how to drive.,0
711,I know how to swim.,0
712,My alarm didn\t ring this morning.,0
713,I forgot that we made plans.,0
714,I was born in russia.,0
715,I am a boy.,0
716,I have a phd in literature.,0
717,I am wearing a blue shirt.,0
718,My father is a cia agent.,0
719,My mother is a movie star.,0
720,I can run a 4 minute mile.,0
721,New jersey is mostly made up of latin-americans.,0
722,The average american household owns 4 dogs.,0
723,The united states has the largest number of professors per capita.,0
724,Pizza was originally a south american food.,0
725,Oreos were invented in china.,0
726,Sugar is a healthy ingredient found in most foods.,0
727,Crocs is a kitchen appliance company.,0
728,I have a degree in english literature.,0
729,My mother was born in serbia.,0
730,My best friend got married last friday.,0
731,I really hate the hot weather.,0
732,Swimming is my favorite sport.,0
733,The new running shoes i bought are purple.,0
734,I invented a new way of making ice cream without milk but it tastes so good.,0
735,I walked so fast in the rain that i didn\t get a single drop on me.,0
736,My grand mother lost all her teeth but still she chews meat and bones effortlessly.,0
737,I have a pet bat.,0
738,My dog\s bark sounds like a meow.,0
739,My cat thinks she\s a dog,0
740,My dog thinks he\s a cat.,0
741,I\m wearing all black.,0
742,My hair is straight.,0
743,I do not like the movie grease.,0
744,The moon is purple.,0
745,You begin college at the age of 5.,0
746,Minimum wage starts at $40 an hour.,0
747,The sky is usually orange.,0
748,There are 1 million legs on a centipede.,0
749,Cars run on gatorade.,0
750,A car has 9 wheels.,0
751,The average child has thee dogs and six cats as pets.,0
752,Some corporations encourage their employees to send 12 to 16 year old daughters to nunneries.,0
753,The average new yorker finds $50 on the streets in their lifetime.,0
754,A train derailed in new orleans last week.,0
755,Mississippi\s wolf river is dyed green every year in honor of arbor day.,0
756,Michigan elementary children are taught how to build snowmen during school hours.,0
757,I have a dog who is very old.,0
