,statement,source,link,veracity,freq
60,"""Breaking: Trump fires deputy attorney general Rod Rosenstein, raising questions over Mueller’s fate.""",HoustonChronicle-tv.com,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/12/houstonchronicle-tvcom/no-trump-hasnt-fired-justice-departments-rod-rosen/,0,2
62,"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",The Gateway Pundit,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/gateway-pundit/facebook-did-not-remove-gateway-pundit-report-afte/,0,3
66,"""Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""",Evening World,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/evening-world/fake-news-about-washington-post-and-roy-moore-accu/,0,1
68,"""I released way more (tax) information than Bruce Rauner has.""",JB Pritzker,/web/20180106054644/http://www.politifact.com/illinois/statements/2017/dec/11/jb-pritzker/no-jb-pritzker-did-not-release-more-tax-informatio/,0,2
69,"""The FBI has become America's secret police …  like the old KGB.""",Gregg Jarrett,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/08/gregg-jarrett/has-fbi-become-americas-secret-police/,0,1
70,"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""",Ryan Sitton,/web/20180106054644/http://www.politifact.com/texas/statements/2017/dec/08/ryan-sitton/ryan-sitton-errantly-says-12-million-people-left-w/,0,1
75,"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180715231626/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,1,2
79,"""I have always condemned … any of these white supremacists or bigots or anything like that.""",Corey  Stewart,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/20/corey-stewart/corey-stewarts-history-far-right-explained/,0,3
84,"""Senate report admits Clinton ‘gifted’ children to human traffickers""",YourNewsWire.com,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/18/yournewswirecom/false-headline-wrongly-links-hillary-clinton-forme/,0,4
85,"""Trump approval rating better than Obama and Reagan at same point in their presidencies.""",The Gateway Pundit,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/18/gateway-pundit/headline-says-trump-tied-obama-same-point-presiden/,1,3
87,"""Of all the 62 counties in New York state, all of them, unemployment is going up except for the five counties of New York City.""",Edward Cox,/web/20180213195651/http://www.politifact.com/new-york/statements/2018/jan/17/edward-cox/unemployment-inching-almost-every-county-outside-n/,1,2
88,"""The graduation rate in New York City has increased by 50 percent in 13 years""",Bill de Blasio,/web/20180213195651/http://www.politifact.com/new-york/statements/2018/jan/17/bill-de-blasio/how-much-has-graduation-rate-increased-nyc-start-m/,1,1
89,"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",Republican News,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/17/republican-news/no-uranium-one-investigation-has-not-led-indictmen/,0,1
91,"""Oprah tells Fox News host ‘all white people have to die.’""",AmericanNews.com,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/16/americannewscom/oprahs-comments-about-race-2013-bbc-interview-dist/,0,4
92,"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",Robert Chody,/web/20180213195651/http://www.politifact.com/texas/statements/2018/jan/12/robert-chody/nearly-half-texas-vehicle-thefts-keys-left-inside-/,0,1
94,"""Atlanta is on its strongest financial footing in 40 years.""",Keisha Lance Bottoms,/web/20180213195651/http://www.politifact.com/georgia/statements/2018/jan/12/keisha-lance-bottoms/atlantas-finances-best-40-years/,1,1
97,"""A ‘gerrymander’ is by definition and common understanding, a strange looking ‘monster’ drawing. This map is clearly not that.""",Robin Hayes,/web/20180213195651/http://www.politifact.com/north-carolina/statements/2018/jan/10/robin-hayes/nc-gop-gerrymander-strange-looking-monster-drawing/,0,1
100,"""GDP is booming. Let’s spread the prosperity to the middle class with big #TaxCuts. Our #TaxReform package doubles standard deduction, brings $$$ back home, and reduces rates for ALL taxpayers. We will #MAGA.""",Lou Barletta,/web/20180119081744/http://www.politifact.com/pennsylvania/statements/2017/dec/06/lou-barletta/pa-rep-lou-barletta-overstates-benefits-house-tax-/,0,1
102,"""Only 20 percent of our current graduates from Texas high schools go ahead and achieve either a national certificate or a community college degree -- or a college degree.""",Tom Luce,/web/20180119081744/http://www.politifact.com/texas/statements/2017/dec/05/tom-luce/tom-luce-understates-share-texas-students-succeedi/,0,1
103,"""Breaking: federal judge grants permission to subpoena Trump.""",news.groopspeak.com,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/dec/05/newsgroopspeakcom/no-judge-grant-subpoena-president-donald-trump/,0,1
104,"""Tennessee GOP twitter taken down after tweet exposing Pelosi involved in pedophilia.""",PuppetStringNews.com,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/dec/05/puppetstringnewscom/fake-russian-twitter-account-center-fake-tweet-abo/,0,3
109,"""Simply being in this country without documentation is not a crime""",Kathy Sheehan,/web/20180119081744/http://www.politifact.com/new-york/statements/2017/dec/01/kathy-sheehan/being-undocumented-immigrant-us-not-crime/,1,1
110,"""Prince Harry says Donald Trump is not welcome at his wedding: ‘Trump is a serious threat to human rights.’ """,Nova magazine,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/dec/01/nova-magazine/prince-harry-never-said-donald-trump-wasnt-welcome/,0,1
114,"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,/web/20180119081744/http://www.politifact.com/punditfact/statements/2017/nov/29/religionmindcom/fake-news-girls-saudi-arabia-will-be-beheaded-danc/,0,2
115,"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/29/religionmindcom/fake-news-girls-saudi-arabia-will-be-beheaded-danc/,0,2
120,"""Melania Trump: 'If ISIS Lays a finger on Barron, I’ll scratch Obama’s eyes out.' """,YourNewsWire.com,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/28/yournewswirecom/no-proof-melania-trump-said-if-isis-harms-her-son-/,0,4
122,"""President Trump just saved Christmas for 13 million retirees.""",Reaganwasright,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/27/reaganwasright/fake-news-says-trump-sending-stimulus-money-retire/,0,1
123,"""Southwest Airlines celebrating 50th anniversary by providing 2 free tickets to everyone!""",soutwest-air.com,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/27/soutwest-aircom/offer-free-tickets-southwest-airlines-scam/,0,1
124,"""Satanists have teamed up with the ACLU and Planned Parenthood in Missouri to roll back the rights of the unborn.""",Ann Wagner,/web/20180119142313/http://www.politifact.com/missouri/statements/2017/nov/24/ann-wagner/satanic-temple-has-not-teamed-planned-parenthood-o/,0,1
126,"""Wisconsin's driver licenses and identification (ID) cards are currently the most secure in the nation.""",Wisconsin Department of Transportation,/web/20180119142313/http://www.politifact.com/wisconsin/statements/2017/nov/24/wisconsin-department-transportation/are-wisconsins-driver-licenses-most-secure-nation-/,1,1
128,"""Pope Francis at Mass: ‘Jesus is Metaphorical, Not Literal.""",YourNewsWire.com,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/22/yournewswirecom/no-proof-pope-francis-said-jesus-metaphorical/,0,4
129,"""Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground""",Pipo News,/web/20180119142313/http://www.politifact.com/punditfact/statements/2017/nov/21/pipo-news/fake-news-civil-war-erupts-sweden/,0,1
130,"""‘The largest bust in U.S. history’ 412 Muslims arrested from Michigan!""",Freshmedianews.com,/web/20180119155920/http://www.politifact.com/punditfact/statements/2017/nov/21/freshmedianewscom/misleading-headline-says-412-michigan-muslims-bust/,0,1
132,"""The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""",Brian Higgins,/web/20180119155920/http://www.politifact.com/new-york/statements/2017/nov/20/brian-higgins/not-all-state-and-local-tax-deductions-eliminated-/,0,1
133,"""2 million rounds of ammo that ‘went missing’ under Obama turns up in enemy hands""",world-newss.com,/web/20180119155920/http://www.politifact.com/punditfact/statements/2017/nov/20/world-newsscom/fake-news-2-million-rounds-us-ammo-turns-afghanist/,0,1
134,"""BUSTED: NASA Accidentally destroys every climate change advocate by exposing massive truth behind Antarctica.""",AmericanNews.com,/web/20180119155920/http://www.politifact.com/punditfact/statements/2017/nov/20/americannewscom/no-nasa-antarctica-study-didnt-discredit-climate-c/,0,4
135,"""FBI Uniform Crime Report for 2016 shows more than four times as many people were stabbed to death than were killed with rifles of any kind.""",Nick Schroer,/web/20180119155920/http://www.politifact.com/missouri/statements/2017/nov/18/nick-schroer/out-context-comments-inflate-stabbing-statistics/,1,1
138,"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",John Thune,/web/20180119155920/http://www.politifact.com/truth-o-meter/statements/2017/nov/17/john-thune/sen-thune-individual-mandate-fine-falls-mainly-peo/,1,1
148,"""Breaking! Roy Moore’s accuser worked for Democratic leaders and is actively campaigning for Moore’s opponent.""",Activist Mommy,/web/20180119162004/http://www.politifact.com/punditfact/statements/2017/nov/15/activist-mommy/headline-misleads-tying-roy-moore-accuser-democrat/,0,1
152,"""Hispanic entrepreneurs, those who have immigrated from Spanish-speaking countries, often start three times as many businesses as white males.""",Chris King,/web/20180119162004/http://www.politifact.com/florida/statements/2017/nov/14/chris-king/do-hispanic-entrepreneurs-often-start-three-times-/,1,1
155,"""Many firearms experts determined the Las Vegas shooter’s use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""",Michael Williams,/web/20180119162004/http://www.politifact.com/georgia/statements/2017/nov/13/michael-williams/did-bump-stocks-prevent-more-casualties-las-vegas/,0,1
156,"""Underreported fact: President @realDonaldTrump raised more in small dollar donations than Obama in 2012 and than Clinton and Bernie combined!""",Kayleigh McEnany,/web/20180119162004/http://www.politifact.com/truth-o-meter/statements/2017/nov/13/kayleigh-mcenany/trump-raised-more-dollars-small-donations/,1,1
160,"""CPS students are learning and growing faster than 96 percent of students in the United States.""",Chicago Public Schools,/web/20180119163549/http://www.politifact.com/illinois/statements/2017/nov/10/chicago-public-schools/cps-students-are-learning-and-growing-faster-96-pe/,1,1
162,"""Supreme Court issues its first bench warrant ever.""",FreedomJunkshun.com,/web/20180119163549/http://www.politifact.com/punditfact/statements/2017/nov/09/freedomjunkshuncom/fake-news-story-says-supreme-court-issues-bogus-wa/,0,3
165,"""The Legislative Ethics Commission continues to function.""",Michael  Madigan,/web/20180119163549/http://www.politifact.com/illinois/statements/2017/nov/09/michael-madigan/madigans-ethics-panel-malfunction/,0,3
166,"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""",Adam Putnam,/web/20180119163549/http://www.politifact.com/florida/statements/2017/nov/08/adam-putnam/adam-putnam-right-about-need-more-nurses-state/,1,4
169,"""Under the Tax Cuts and Jobs Act, the average American family of four will receive a $1,182 tax cut.""",Markwayne Mullin,/web/20180119163549/http://www.politifact.com/truth-o-meter/statements/2017/nov/07/markwayne-mullin/oklahoma-rep-mullin-says-average-family-would-save/,1,1
170,"""There are no background checks on long guns (AR15s) in Texas.""",Alyssa Milano,/web/20180119163549/http://www.politifact.com/truth-o-meter/statements/2017/nov/06/alyssa-milano/alyssa-milano-no-background-checks-texas-long-gun-/,0,1
171,"""Texas Church shooter was Antifa and wanted to start (a) ‘communist revolution.’ """,YourNewsWire.com,/web/20180119163549/http://www.politifact.com/punditfact/statements/2017/nov/06/yournewswirecom/fake-news-no-proof-antifa-communism-compelled-texa/,0,4
178,"""IDC members also get tons of campaign money from real estate, charter school, and health care lobbyists, some of whom are Republicans with connections to Trump""",The Creative Resistance,/web/20180119164415/http://www.politifact.com/new-york/statements/2017/nov/05/creative-resistance/progressive-group-accuses-senate-splinter-group-do/,1,1
179,"""Liberals in County Hall want our community to be a sanctuary county""",New York Republican State Committee,/web/20180119164415/http://www.politifact.com/new-york/statements/2017/nov/03/new-york-republican-state-committee/republican-mailer-claims-democrats-are-trying-make/,0,1
180,"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",Michael Kearns,/web/20180119164415/http://www.politifact.com/new-york/statements/2017/nov/03/michael-kearns/kearns-constant-critic-sheldon-silver-while-assemb/,1,1
181,"""We’re growing union jobs faster than Illinois.""",Eric Holcomb,/web/20180119164415/http://www.politifact.com/illinois/statements/2017/nov/03/eric-holcomb/indiana-governor-right-gloat-about-union-jobs-succ/,1,1
184,"""We are spending more on affordable housing than we're spending on Dix Park right now.""",Nancy McFarlane,/web/20180119164415/http://www.politifact.com/north-carolina/statements/2017/nov/02/nancy-mcfarlane/mayor-says-raleigh-spending-more-housing-dix-park/,1,1
186,"""It costs nearly five times as much in California to build and maintain a mile of road as it does in the rest of the nation.""",John Cox,/web/20180119164415/http://www.politifact.com/california/statements/2017/nov/01/john-cox/does-california-spend-nearly-five-times-much-build/,0,1
187,"""Alabama’s Crimson Tide was disqualified from national championship.""",BreakingNews247.net,/web/20180119164415/http://www.politifact.com/punditfact/statements/2017/nov/01/breakingnews247net/fake-news-generator-claims-alabama-football-disqua/,0,1
192,"""Hillary Clinton leaves the country as Mueller indictment is announced.""",FreedomJunkshun.com,/web/20180119164739/http://www.politifact.com/punditfact/statements/2017/oct/31/freedomjunkshuncom/fake-news-site-claims-hillary-clinton-flies-ukrain/,0,3
193,"""Breitbart leaks names of four Dems being charged in Mueller’s Russia probe.""",FreedomJunkshun.com,/web/20180119164739/http://www.politifact.com/punditfact/statements/2017/oct/31/freedomjunkshuncom/fake-news-post-says-breitbart-named-4-democrats-in/,0,3
199,"""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history.""",Delaine Eastin,/web/20180119164739/http://www.politifact.com/california/statements/2017/oct/27/delaine-eastin/do-millennials-have-only-50-50-chance-doing-better/,1,1
204,"""The Travis County propositions will not raise your taxes! If you are 65 or older, your property taxes are frozen.""",Travis Forward,/web/20180119164739/http://www.politifact.com/texas/statements/2017/oct/25/travis-forward/travis-forward-pac-inaccurately-says-proposed-coun/,0,1
206,"""There are parks in Southeast Raleigh that still don’t have air conditioning in the gym""",Charles Francis,/web/20180119165140/http://www.politifact.com/north-carolina/statements/2017/oct/25/charles-francis/democrat-running-mayor-says-southeast-raleigh-gyms/,1,1
207,"""The city (of St. Louis) is no stranger to violence. There were 5,762 violent crimes in 2015 alone, including 188 homicides. The highest rate per capita in the country, according to FBI crime statistics.""",Pete Hegseth,/web/20180119165140/http://www.politifact.com/missouri/statements/2017/oct/24/pete-hegseth/pete-hegseth-gives-correct-statistics-st-louis-cri/,1,1
209,"""Opioid crisis (is) the worst in ObamaCare expansion states!""",Matt Gaetz,/web/20180119165140/http://www.politifact.com/florida/statements/2017/oct/23/matt-gaetz/no-evidence-prove-medicaid-expansion-fueling-opioi/,0,3
212,"""Tulsa school closes after brutal fire.""",React365.com,/web/20180119165140/http://www.politifact.com/punditfact/statements/2017/oct/23/react365com/user-generated-prank-post-falsely-says-tulsa-high-/,0,1
213,"""The KKK was founded as the military arm of the Democratic Party.""",Dane County Republican Party,/web/20180119165140/http://www.politifact.com/wisconsin/statements/2017/oct/23/dane-county-republican-party/debunking-claim-kkk-was-founded-military-arm-democ/,0,1
219,"""And over the last six years, Chicago’s economy has grown faster than the economies of New York City, Washington, D.C., or the national average.""",Rahm Emanuel,/web/20180119165429/http://www.politifact.com/illinois/statements/2017/oct/20/rahm-emanuel/emanuel-plays-fast-and-loose-fast-growth-boast/,0,3
221,"""And I think that his engagement with Congress is something that never happened under President Obama. They were never allowed to debate it. They were never allowed to discuss it. So, now Congress is going to be fully engaged on the threats of Iran.""",Nikki Haley,/web/20180119165429/http://www.politifact.com/truth-o-meter/statements/2017/oct/19/nikki-haley/haley-wrongly-says-congress-had-no-input-iran-nucl/,0,3
223,"""In the eight years that I was mayor, (there was a) nearly 50 percent drop in violent crime, gang crime — crime went down because we grew our police department, we focused on constitutional community policing, we did some of the most innovative prevention, intervention, job re-entry programs in the nation.""",Antonio  Villaraigosa,/web/20180119165429/http://www.politifact.com/california/statements/2017/oct/18/antonio-villaraigosa/did-las-violent-crime-drop-nearly-half-during-vill/,1,4
226,"""Hillary (Clinton) caught on tape laughing about (Hurricane) Irma ‘wiping out all of those Florida hillbillies’.""",AsAmericanAsApplePie.org,/web/20180119165429/http://www.politifact.com/punditfact/statements/2017/oct/18/asamericanasapplepieorg/hillary-clinton-wanted-irma-wipe-every-florida-hil/,0,3
228,"""San Juan city council votes unanimously to impeach Trump-hating mayor.""",AsAmericanAsApplePie.org,/web/20180119165429/http://www.politifact.com/punditfact/statements/2017/oct/17/asamericanasapplepieorg/fake-blog-posts-say-san-juan-city-council-impeache/,0,3
229,"""State government spending is at an all-time high. The state is on track to spend more in this fiscal year — more than $17.9 billion — than at any time in state history.""",Oklahoma Council of Public Affairs,/web/20180119165429/http://www.politifact.com/truth-o-meter/statements/2017/oct/17/oklahoma-council-public-affairs/oklahoma-spending-more-ever-only-if-you-ignore-inf/,0,1
231,"""There is a real law in Texas that says it’s illegal to own more than six dildos.""",Colin Jost,/web/20180119165429/http://www.politifact.com/texas/statements/2017/oct/13/colin-jost/colin-jost-weekend-update-texas-dildos-law-6-own-m/,1,1
232,"""A California health care CEO is promising to reduce our prescription drug costs.""",Ohioans Against Deceptive Rx Ballot Issue,/web/20180119165429/http://www.politifact.com/ohio/statements/2017/oct/13/ohioans-against-deceptive-rx-ballot-issue/ad-opposing-ohio-issue-2-wrongly-portrays-proponen/,0,1
241,"""One in 10 babies born in this country is born in Texas.""",Joyce Mauk,/web/20180119165719/http://www.politifact.com/texas/statements/2017/oct/12/joyce-mauk/fort-worth-pediatrician-says-1-10-us-born-babies-b/,1,1
242,"""Under his leadership, Tallahassee reduced its carbon intensity by roughly 40 percent.""",Andrew Gillum,/web/20180119165719/http://www.politifact.com/florida/statements/2017/oct/12/andrew-gillum/gillum-campaign-changes-website-after-touting-fals/,0,1
246,"""Jason Aldean gig canceled after he sells out to liberals on ‘SNL’.""",AsAmericanAsApplePie.org,/web/20180119165719/http://www.politifact.com/punditfact/statements/2017/oct/10/asamericanasapplepieorg/fake-news-site-says-jason-aldean-gave-anti-gun-scr/,0,3
254,"""White men have committed more mass shootings than any other group.""",Newsweek,/web/20180119165835/http://www.politifact.com/punditfact/statements/2017/oct/06/newsweek/are-white-males-responsible-more-mass-shootings-an/,1,1
255,"""It's time to remove any statue of Margaret Sanger who was a white suprematist (sic), spoke at kkk events & supported by democrats. #prolife""",Andrew Koenig,/web/20180119165835/http://www.politifact.com/missouri/statements/2017/oct/05/andrew-koenig/margaret-sanger-alleged-white-supremacist/,0,2
264,"""I think if you look to Chicago, where you had over 4,000 victims of gun-related crimes last year, they have the strictest gun laws in the country. That certainly hasn’t helped there.""",Sarah  Huckabee Sanders,/web/20180119165835/http://www.politifact.com/illinois/statements/2017/oct/03/sarah-huckabee-sanders/chicago-toughest-gun-control-claim-shot-full-holes/,0,2
282,"""The current city mayor (Kasim Reed) has been virtually absent in terms of regional cooperation the last eight years.""",John Eaves,/web/20180119170045/http://www.politifact.com/georgia/statements/2017/sep/28/john-eaves/was-reed-virtually-absent-regional-issues-no/,0,2
284,"""Since 2010, Republicans have won unaffiliated voters in every general election.""",Dallas Woodhouse,/web/20180119170045/http://www.politifact.com/north-carolina/statements/2017/sep/27/dallas-woodhouse/woodhouse-says-gop-winning-unaffiliated-voters-nc/,1,1
287,"""Missouri Votes to Let Employers Fire People Who Use Birth Control.""",Feministing,/web/20180119170440/http://www.politifact.com/missouri/statements/2017/sep/27/feministing/column-feministing-website-about-abortion-law-pant/,0,1
288,"""The bill that I carried cutting MO’s income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg @Eric_Schmitt""",Andrew Koenig,/web/20180119170440/http://www.politifact.com/missouri/statements/2017/sep/26/andrew-koenig/first-cut-missouri-income-tax-over-100-years/,1,2
289,"""If you pass the so-called Dream Act, it will be the single biggest amnesty in the history of the United States, even bigger than the 1986 amnesty.""",Tom Cotton,/web/20180119170440/http://www.politifact.com/truth-o-meter/statements/2017/sep/26/tom-cotton/sen-tom-cotton-misleads-claim-about-dream-act-amne/,0,1
296,"""Roy Moore fought for pay increases for politicians while courts had to shut down because of lack of funding.""",Luther Strange,/web/20180119170440/http://www.politifact.com/truth-o-meter/statements/2017/sep/22/luther-strange/did-roy-moore-fight-pay-raises-politicians-during-/,0,1
297,"""Republicans want to restore #gunrights to felons""",José Serrano,/web/20180119170440/http://www.politifact.com/new-york/statements/2017/sep/22/jose-serrano/are-republicans-trying-allow-convicted-felons-own-/,1,1
302,"""Ronald Reagan was a verified Democrat until his mid-50s.""",Kevin Nicholson,/web/20180119170540/http://www.politifact.com/wisconsin/statements/2017/sep/21/kevin-nicholson/reagan-democrat-50s/,1,1
311,"""U.S. comedian Kevin Hart in critical condition after gory car crash.""",NYDailyNews-TV.com,/web/20180119170540/http://www.politifact.com/punditfact/statements/2017/sep/19/nydailynews-tvcom/kevin-harts-confession-real-car-crash-report-fake-/,0,1
316,"""Mass voter fraud just discovered, to the amount that could void Hillary’s victory In New Hampshire.""",Young Conservatives,/web/20180119170540/http://www.politifact.com/punditfact/statements/2017/sep/15/young-conservatives/website-passes-along-dubious-claims-about-fraudule/,0,1
317,"""Facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on November 8, 2016: New Hampshire’s U.S. Senate Seat, and perhaps also New Hampshire’s four Electoral College votes in the presidential election.""",Kris Kobach,/web/20180119170716/http://www.politifact.com/truth-o-meter/statements/2017/sep/15/kris-kobach/there-evidence-voter-fraud-new-hampshire-kris-koba/,0,1
323,"""Muslims’ disturbing plan comes out after grocery stores go bare to prepare for Irma.""",Freedom Daily,/web/20180119170716/http://www.politifact.com/punditfact/statements/2017/sep/12/freedom-daily/freedom-daily-misleads-about-potential-food-poison/,0,2
329,"""No court has held (Deferred Action for Childhood Arrivals) unconstitutional.""",Eric Schneiderman,/web/20180119170716/http://www.politifact.com/truth-o-meter/statements/2017/sep/11/eric-schneiderman/has-daca-been-ruled-unconstitutional/,1,2
330,"""The governor’s cuts would kick over 8,000 people out of their homes.""",Crystal Quade,/web/20180119170716/http://www.politifact.com/missouri/statements/2017/sep/10/crystal-quade/claim-about-home-care-cuts-mostly-false/,0,1
332,"""Schools in Austin Independent School District are teaching children as young as 4 years old that their gender is fluid – that they’re not a boy or a girl and they can choose whichever gender they want.""",Glenna Hodge,/web/20180119170754/http://www.politifact.com/texas/statements/2017/sep/08/glenna-hodge/mostly-false-austin-children-taught-gender-fluid-s/,0,1
336,"""ISIS Lays Down Arms After Katy Perry’s Impassioned Plea To ‘Like, Just Co-Exist’""",Babylon Bee,/web/20180119170754/http://www.politifact.com/punditfact/statements/2017/sep/08/babylon-bee/no-isis-didnt-lay-down-its-arms-after-katy-perry-e/,0,1
339,"""We're still doing dumb things like telling the parent of an 11-year-old that it's against the law for them to tell their parents what they were tested on ... That will end when I'm governor.""",Adam Putnam,/web/20180119170754/http://www.politifact.com/florida/statements/2017/sep/07/adam-putnam/putnam-wrongly-says-its-against-law-students-talk-/,0,4
350,"""It is shocking to me that Police Commissioner Richard Ross and Mayor Jim Kenney allowed this illegal occupation to go on for hours without taking any action to enforce the law…""",Martina White,/web/20180119170819/http://www.politifact.com/pennsylvania/statements/2017/sep/01/martina-white/why-black-lives-matter-protest-outside-philly-poli/,0,1
355,"""Floyd Mayweather Jr. donates a whopping sum of money to Houston after hurricane.""",HoustonChronicle-tv.com,/web/20180119170819/http://www.politifact.com/punditfact/statements/2017/aug/30/houstonchronicle-tvcom/its-fake-news-floyd-mayweather-jr-donated-200-mill/,0,2
356,"""As of 2014, illegal aliens made up roughly 3.5 percent of our population, and committed over 10 percent of all murders.""",Matt Gaetz,/web/20180119170819/http://www.politifact.com/florida/statements/2017/aug/30/matt-gaetz/gaetz-misleads-claim-about-immigrants-crime/,0,3
361,"""I think what the authors of the (25th) Amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office.""",Adam Schiff,/web/20180119170819/http://www.politifact.com/truth-o-meter/statements/2017/aug/29/adam-schiff/when-can-25th-amendment-be-used-against-president/,1,1
364,"""President (Donald) Trump pardons Kim Davis.""",OurLandOfTheFree.com,/web/20180119170837/http://www.politifact.com/punditfact/statements/2017/aug/28/ourlandofthefreecom/its-fake-news-trump-pardoned-kentucky-clerk-kim-da/,0,1
367,"""I'm the only candidate who has not accepted money from Carl Paladino nor LPCiminelli; two of the biggest developers in the city of Buffalo.""",Betty Jean Grant,/web/20180119170837/http://www.politifact.com/new-york/statements/2017/aug/25/betty-jean-grant/which-candidates-mayor-took-money-top-buffalo-deve/,1,1
376,"""No president in history has imposed larger personal lifestyle costs on the taxpayer than Donald Trump.""",David Frum,/web/20180119170837/http://www.politifact.com/punditfact/statements/2017/aug/23/david-frum/are-trumps-travels-imposing-historic-costs-taxpaye/,0,2
